Актикул;Partnumber;Категория;Производитель;Название;Розничная цена;Мелкий опт;Валюта
154289;PNSoft-PO;Сетевые СКУД;Parsec;Модуль Parsec PNSoft-PO;20433;По запросу;Руб.
154255;PNSoft-WS;Сетевые СКУД;Parsec;Рабочая станция Parsec PNSoft-WS;6811;По запросу;Руб.
135310;MD-CC101;Дополнительное оборудование ОПС;Rosslare;GSM коммуникатор Rosslare MD-CC101;11550;12594;Руб.
125960;BH01 1-00;Ограждения;PERCo;Поручень PERCo BH01 1-00;1840;2645;Руб.
125333;001DF17;Дополнительное оборудование СКУД;CAME;Профиль CAME 001DF17;3664;По запросу;Руб.
125297;001B4353;Дополнительное оборудование СКУД;CAME;Цепная передача CAME 001B4353;7664;По запросу;Руб.
125606;ATI 5000;Шлагбаумы и автоматика;CAME;Комплект для ворот CAME ATI 5000;31920;По запросу;Руб.
125561;BK-221;Шлагбаумы и автоматика;CAME;Комплект CAME BK-221;37840;По запросу;Руб.
125475;001V0686;Дополнительное оборудование СКУД;CAME;Профиль CAME 001V0686;7120;По запросу;Руб.
154241;NI-TW;Сетевые СКУД;Parsec;Интерфейс Parsec NI-TW;3338;По запросу;Руб.
162486;ACA-ICL256-2AR;Идентификаторы;BOSCH;Идентификатор BOSCH ACA-ICL256-2AR;16983;По запросу;Руб.
168162;JA-186JK;Радиоканальные системы безопасности;Jablotron;Брелок Jablotron JA-186JK;1926;По запросу;Руб.
154295;PNSoft-32;Сетевые СКУД;Parsec;Программное обеспечение Parsec PNSoft-32;31331;По запросу;Руб.
168097;JA-111R;Радиоканальные системы безопасности;Jablotron;Адресный интерфейс Jablotron JA-111R;11335;По запросу;Руб.
135300;SA-03;Радиоканальные системы безопасности;Rosslare;Передатчик Rosslare SA-03;2936;3197;Руб.
135158;MD-IO84;Дополнительное оборудование СКУД;Rosslare;Плата Rosslare MD-IO84;11942;13247;Руб.
125395;001G03756;Дополнительное оборудование СКУД;CAME;Вставка CAME 001G03756;616;По запросу;Руб.
125342;001DIR-S;Дополнительное оборудование СКУД;CAME;Переходник CAME 001DIR-S;160;По запросу;Руб.
125326;001CSSN;Дополнительное оборудование СКУД;CAME;Стойка CAME 001CSSN;2440;По запросу;Руб.
137338;262-30*8(264);Дополнительное оборудование СКУД;CAME;Рейка CAME 262-30*8(264);472;По запросу;Руб.
125589;CAT 24;Шлагбаумы и автоматика;CAME;Комплект CAME CAT 24;87920;По запросу;Руб.
125570;CBX ET;Шлагбаумы и автоматика;CAME;Комплект CAME СBX ET;34380;По запросу;Руб.
125554;BX-64;Шлагбаумы и автоматика;CAME;Комплект CAME BX-64;14400;По запросу;Руб.
125536;AXO 4;Шлагбаумы и автоматика;CAME;Комплект CAME AXO 4;45600;По запросу;Руб.
125488;002LB38;Дополнительное оборудование СКУД;CAME;Плата CAME 002LB38;2496;По запросу;Руб.
163434;PNOffice-16;Сетевые СКУД;Parsec;Программный комплекс Parsec PNOffice-16;13622;По запросу;Руб.
125464;001TOP-A40;Дополнительное оборудование СКУД;CAME;Антенна CAME 001TOP-A40;720;По запросу;Руб.
135281;GCK-02;Дополнительное оборудование СКУД;Rosslare;Комплект Rosslare GCK-02;76482;75438;Руб.
125375;001G028011;Дополнительное оборудование СКУД;CAME;Устройство CAME 001G028011;34400;По запросу;Руб.
125335;001DF25;Дополнительное оборудование СКУД;CAME;Профиль CAME 001DF25;4736;По запросу;Руб.
125311;001C003;Дополнительное оборудование СКУД;CAME;Система CAME 001C003;7986;По запросу;Руб.
125563;BX-P;Шлагбаумы и автоматика;CAME;Комплект CAME BX-P;26400;По запросу;Руб.
125547;AMICO;Шлагбаумы и автоматика;CAME;Комплект CAME AMICO;43000;По запросу;Руб.
125515;009SMA;Дополнительное оборудование СКУД;CAME;Датчик CAME 009SMA;8480;По запросу;Руб.
163427;CNC-12-IP;Сетевые СКУД;Parsec;Ethernet-шлюз Parsec CNC-12-IP;13895;По запросу;Руб.
125453;001SET-K;Дополнительное оборудование СКУД;CAME;Ключ CAME 001SET-K;1328;По запросу;Руб.
154281;PNSoft-VI;Сетевые СКУД;Parsec;Модуль Parsec PNSoft-VI;13622;По запросу;Руб.
162488;ACD-ICL256-2AR;Идентификаторы;BOSCH;Идентификатор BOSCH ACD-ICL256-2AR;18770;По запросу;Руб.
168073;JA-192Y;Радиоканальные системы безопасности;Jablotron;GSM/GPRS коммуникатор Jablotron JA-192Y;10298;По запросу;Руб.
152491;ESIM364;GSM мониторинг;Eldes;Охранная панель Eldes ESIM364 (P,W);10446;12224;Руб.
125556;BX-78;Шлагбаумы и автоматика;CAME;Комплект CAME BX-78;18000;По запросу;Руб.
163468;MS-200;Извещатели охранные;Optimus;Датчик Optimus MS-200 беспроводной;565;По запросу;Руб.
125539;FERNI 1000;Шлагбаумы и автоматика;CAME;Комплект CAME FERNI 1000;37040;По запросу;Руб.
125490;002LB90;Дополнительное оборудование СКУД;CAME;Плата CAME 002LB90;2448;По запросу;Руб.
163436;PNOffice-PI;Сетевые СКУД;Parsec;Модуль печати пропусков Parsec PNOffice-PI;13622;По запросу;Руб.
125466;001TOP-A862N;Дополнительное оборудование СКУД;CAME;Антенна CAME 001TOP-A862N;720;По запросу;Руб.
125446;001S0001;Дополнительное оборудование СКУД;CAME;Блок электроники CAME 001S0001;2984;По запросу;Руб.
154269;PNSoft-08;Сетевые СКУД;Parsec;Программное обеспечение Parsec PNSoft-08;9876;По запросу;Руб.
158581;ISP-MCS3-FP110;Извещатели охранные;BOSCH;Магнитный контакт BOSCH ISP-MCS3-FP110;3438;3652;Руб.
154233;NMI-08;Сетевые СКУД;Parsec;Расширитель Parsec NMI-08;1226;По запросу;Руб.
160362;ST-ER115SL-GN;Кнопки выхода;Smartec;Устройство разблокировки двери Smartec ST-ER115SL-GN;783;По запросу;Руб.
136977;ST-EX001RF;Контроллеры;Smartec;Комплект управления Smartec ST-EX001RF;1044;1239;Руб.
135303;SA-26G;Идентификаторы;Rosslare;Передатчик Rosslare SA-26G;2936;3197;Руб.
135243;MD-08;Медиаконвертеры;Rosslare;Конвертер Rosslare MD-08;2610;2545;Руб.
135212;MP-Z02;Дополнительное оборудование СКУД;Rosslare;Дистансер Rosslare MP-Z02;1892;1827;Руб.
125403;001G0460;Дополнительное оборудование СКУД;CAME;Лампа CAME 001G0460;4160;По запросу;Руб.
125345;001DOC-LN;Дополнительное оборудование СКУД;CAME;Стойка CAME 001DOC-LN;1544;По запросу;Руб.
125328;001DBC03;Дополнительное оборудование СКУД;CAME;Фотоэлемент CAME 001DBC03;2288;По запросу;Руб.
137331;001DD-1TA433;Дополнительное оборудование СКУД;CAME;Антенна CAME 001DD-1TA433;1160;По запросу;Руб.
125591;UNIPARK2;Шлагбаумы и автоматика;CAME;Комплект CAME UNIPARK2;35032;По запросу;Руб.
125572;EMEGA 1024;Шлагбаумы и автоматика;CAME;Комплект CAME EMEGA 1024;30800;По запросу;Руб.
158143;FMC-420RW-HSGRD;Адресные системы пожарной сигнализации;BOSCH;Извещатель BOSCH FMC-420RW-HSGRD;13279;13985;Руб.
158108;FCS-320-TM;Адресные системы пожарной сигнализации;BOSCH;Извещатель BOSCH FCS-320-TM;91429;96298;Руб.
108362;OML-DAM;Технические средства охраны периметра;Optex;Извещатель Optex OML-DAM;6721;7308;Руб.
158092;FCH-T320;Адресные системы пожарной сигнализации;BOSCH;Извещатель BOSCH FCH-T320;1735;1827;Руб.
108383;BX-80NR;Технические средства охраны периметра;Optex;Извещатель Optex BX-80NR;13965;15270;Руб.
167602;МИНИТРОНИК А16-УПТ;Адресные системы пожарной сигнализации;Юнитест;Адресный модуль Юнитест МИНИТРОНИК А16-УПТ;5297;По запросу;Руб.
164180;EXPRESS-GSM;GSM мониторинг;Сибирский Арсенал;GSM сигнализация Express GSM Сибирский Арсенал;3420;По запросу;Руб.
164164;ИО 329-17 Сонар;Извещатели охранные;Сибирский Арсенал;Датчик разбития стекла Сонар Сибирский Арсенал;540;По запросу;Руб.
167765;HX-80NRAM;Технические средства охраны периметра;Optex;Извещатель Optex HX-80NRAM;20099;По запросу;Руб.
159169;FAH-425-T-R;Адресные системы пожарной сигнализации;BOSCH;Извещатель BOSCH FAH-425-T-R;4723;5122;Руб.
164323;SL-650QDP;Технические средства охраны периметра;Optex;Всепогодный извещатель Optex SL-650QDP;40133;По запросу;Руб.
135293;SA-01P;Извещатели охранные;Rosslare;Извещатель Rosslare SA-01P;6264;6786;Руб.
159059;OD850-F2;Адресные системы пожарной сигнализации;BOSCH;Извещатель BOSCH OD850-F2;9734;10341;Руб.
167285;CIR301;Дополнительное оборудование ОПС;COOPER;Неадресный ВУОС COOPER CIR301;811;По запросу;Руб.
166928;DS-PI-D40/FM;Извещатели охранные;HikVision;Оптический извещатель HikVision DS-PI-D40/FM;10341;По запросу;Руб.
159021;ISC-PMC-F3S;Извещатели охранные;BOSCH;Извещатель BOSCH ISC-PMC-F3S;984;1044;Руб.
167269;CF30004GRUS;Приёмно-контрольные приборы;COOPER;Извещатель COOPER CF30004GRUS;250607;По запросу;Руб.
168157;JA-150N;Радиоканальные системы безопасности;Jablotron;Модуль выхода Jablotron JA-150N;4667;По запросу;Руб.
158574;ISC-PDL1-WA18G;Адресные системы пожарной сигнализации;BOSCH;Извещатель BOSCH ISC-PDL1-WA18G;7956;8452;Руб.
164157;Гранит-5;Приёмно-контрольные приборы;Сибирский Арсенал;Прибор приемно-контрольный Гранит 5 Сибирский Арсенал;3785;По запросу;Руб.
164316;SL-200TNR;Технические средства охраны периметра;Optex;Инфракрасный барьер Optex SL-200TNR;17946;По запросу;Руб.
108392;HX-40;Технические средства охраны периметра;Optex;Извещатель Optex HX-40;11876;12986;Руб.
159098;ISC-PDL1-WC30H;Адресные системы пожарной сигнализации;BOSCH;Извещатель BOSCH ISC-PDL1-WC30H;4961;5551;Руб.
159052;FNM-420V-A-WH;Адресные системы пожарной сигнализации;BOSCH;Оповещатель BOSCH FNM-420V-A-WH;10471;11028;Руб.
166937;DS-PI-Q150/FM;Извещатели охранные;HikVision;Оптический извещатель HikVision DS-PI-Q150/FM;26991;По запросу;Руб.
159030;ISP-RSC3-110S;Извещатели охранные;BOSCH;Извещатель BOSCH ISP-RSC3-110S;6084;6463;Руб.
